iter	MultiClass
0	1.53375481
1	1.465999204
2	1.406363963
3	1.356235487
4	1.3050368
5	1.260179701
6	1.215492956
7	1.175855829
8	1.141795325
9	1.108744553
10	1.077529785
11	1.048643095
12	1.02091044
13	0.9947692624
14	0.9720111973
15	0.9497333788
16	0.9286537
17	0.9085597895
18	0.8893548713
19	0.870797807
20	0.8534590293
21	0.8371228
22	0.8226528079
23	0.8097034525
24	0.7957967378
25	0.7825117174
26	0.769695841
27	0.7570501756
28	0.7455219316
29	0.7350920255
30	0.7256448924
31	0.7160184039
32	0.7069816954
33	0.6996852965
34	0.6906955457
35	0.6825318152
36	0.673986697
37	0.6667128283
38	0.6600472504
39	0.6526732266
40	0.6456388305
41	0.6391154367
42	0.6323809723
43	0.6264233695
44	0.6205786053
45	0.6149433382
46	0.6097696955
47	0.6045350673
48	0.5992409768
49	0.5941783299
50	0.5892464038
51	0.5849114402
52	0.5808122036
53	0.5768870545
54	0.5723945529
55	0.5680861472
56	0.5645145796
57	0.5607050993
58	0.5568388435
59	0.5533626526
60	0.5499084614
61	0.5465176506
62	0.5429582871
63	0.5398939544
64	0.5369219315
65	0.5340320232
66	0.5315803462
67	0.5284907621
68	0.5257467941
69	0.523587673
70	0.5213579112
71	0.5189064384
72	0.5167713452
73	0.5150497136
74	0.5128712006
75	0.5108163298
76	0.5089812866
77	0.5068868303
78	0.5050095251
79	0.5028978791
80	0.5013612561
81	0.4993471147
82	0.4973678888
83	0.4956043375
84	0.4940670408
85	0.4924431278
86	0.4913015898
87	0.4895132775
88	0.4877197477
89	0.4859155888
90	0.4845003995
91	0.4828814933
92	0.4815852193
93	0.4800973819
94	0.4787485947
95	0.4775203627
96	0.4761431887
97	0.4751322433
98	0.4736899178
99	0.472417074
100	0.4711497212
101	0.4700210275
102	0.4691952312
103	0.4679297238
104	0.4670115103
105	0.4659239482
106	0.4647875324
107	0.4637700204
108	0.462525682
109	0.4616339375
110	0.4610889124
111	0.4602650959
112	0.4593328948
113	0.4584728062
114	0.4574450484
115	0.456509564
116	0.4557248403
117	0.4550073208
118	0.4540522767
119	0.4531250302
120	0.4524096525
121	0.4517927075
122	0.4512301061
123	0.4504202787
124	0.4495058147
125	0.4487963973
126	0.4480310288
127	0.4475777203
128	0.4468729795
129	0.4462405904
130	0.4455439547
131	0.4449233318
132	0.4443704294
133	0.4435768624
134	0.4430988611
135	0.4424998689
136	0.4420496041
137	0.4413395803
138	0.440681818
139	0.4400396441
140	0.4394498316
141	0.4387847975
142	0.4382543897
143	0.4375937543
144	0.4373038333
145	0.4368517693
146	0.4364366308
147	0.4360890843
148	0.435779576
149	0.4351926403
150	0.4348987218
151	0.4343203719
152	0.434089338
153	0.4336561252
154	0.4333831171
155	0.4328474287
156	0.4323332704
157	0.4320237255
158	0.4315343639
159	0.4309049741
160	0.4306511777
161	0.4301583449
162	0.429735447
163	0.4293386316
164	0.4291228338
165	0.4286221725
166	0.4280853822
167	0.4276424468
168	0.4273584317
169	0.4269388819
170	0.4264782195
171	0.4259897175
172	0.4255392998
173	0.425330742
174	0.4250015005
175	0.4245466779
176	0.4241352914
177	0.4237092785
178	0.4233152301
179	0.4228799626
180	0.4225468643
