iter	Passed	Remaining
0	168	504992
1	170	255137
2	172	171978
3	173	130320
4	175	105261
5	177	88522
6	178	76398
7	180	67437
8	182	60492
9	183	54942
10	185	50413
11	187	46657
12	189	43435
13	190	40672
14	192	38280
15	194	36199
16	195	34363
17	197	32757
18	199	31296
19	201	29993
20	203	28812
21	204	27739
22	206	26766
23	208	25889
24	210	25075
25	212	24314
26	214	23600
27	215	22881
28	217	22267
29	219	21688
30	220	21140
31	222	20636
32	224	20168
33	226	19719
34	227	19299
35	229	18902
36	231	18521
37	233	18162
38	234	17840
39	236	17533
40	238	17224
41	240	16933
42	241	16603
43	243	16334
44	245	16093
45	246	15858
46	248	15627
47	250	15402
48	252	15201
49	254	14997
50	255	14801
51	257	14607
52	259	14417
53	261	14241
54	262	14070
55	264	13911
56	266	13755
57	268	13605
58	270	13463
59	271	13318
60	273	13184
61	275	13053
62	277	12925
63	279	12803
64	280	12681
65	282	12568
66	284	12448
67	286	12344
68	288	12239
69	289	12135
70	291	12030
71	293	11928
72	294	11828
73	296	11733
74	298	11641
75	300	11560
76	302	11471
77	303	11386
78	305	11302
79	307	11220
80	309	11149
81	311	11092
82	313	11018
83	315	10944
84	316	10868
85	318	10799
86	320	10726
87	322	10660
88	323	10593
89	325	10533
90	327	10470
91	329	10407
92	330	10346
93	332	10285
94	334	10223
95	336	10164
96	337	10108
97	339	10058
98	341	10008
99	343	9953
100	344	9900
101	346	9854
102	348	9802
103	350	9758
104	352	9708
105	353	9661
106	355	9616
107	357	9574
108	359	9531
109	361	9489
110	363	9448
111	365	9412
112	366	9370
113	368	9329
114	370	9302
115	372	9271
116	374	9236
117	376	9203
118	378	9171
119	380	9136
120	382	9103
121	384	9064
122	386	9029
123	388	9001
124	389	8969
125	391	8935
126	393	8901
127	395	8871
128	397	8840
129	399	8808
130	401	8782
131	402	8754
132	404	8726
133	406	8696
134	408	8665
135	410	8636
136	411	8604
137	413	8575
138	415	8552
139	417	8525
140	419	8498
141	420	8470
142	422	8442
143	424	8414
144	425	8387
145	427	8363
146	429	8341
147	431	8316
148	433	8291
149	435	8267
150	437	8245
151	439	8226
152	440	8203
153	442	8180
154	444	8157
155	446	8140
156	448	8118
157	450	8095
158	451	8075
159	454	8060
160	455	8039
161	457	8016
162	459	7997
163	461	7977
164	463	7957
165	465	7941
166	467	7923
167	468	7903
168	470	7884
169	472	7869
170	474	7854
171	476	7838
172	478	7819
173	480	7800
174	482	7782
175	483	7763
176	485	7748
177	487	7736
178	490	7725
179	492	7710
180	494	7695
181	496	7680
182	498	7667
183	501	7670
184	503	7662
185	505	7651
186	507	7637
187	509	7618
188	511	7610
189	513	7597
190	515	7581
191	517	7565
192	519	7551
193	521	7535
194	522	7522
195	524	7505
196	526	7491
197	528	7479
198	530	7470
199	532	7458
200	535	7451
201	537	7441
202	539	7438
203	542	7429
204	543	7416
205	545	7402
206	547	7388
207	549	7374
208	551	7361
209	553	7349
210	555	7339
211	557	7328
212	559	7318
213	561	7309
214	563	7298
215	565	7292
216	568	7291
217	570	7281
218	572	7272
219	574	7263
220	576	7253
221	579	7245
222	581	7237
223	583	7232
224	585	7222
225	587	7212
226	589	7204
227	591	7195
228	593	7184
229	596	7177
230	597	7167
231	599	7156
232	601	7147
233	603	7138
234	606	7131
235	608	7121
236	610	7114
237	612	7104
238	614	7094
239	615	7083
240	617	7073
241	619	7063
242	621	7053
243	623	7040
